date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_win
2006-08-29,Togo,Niger,1,1,Friendly,Lomé,Togo,False,False
2006-08-29,Uganda,Burkina Faso,0,0,Friendly,Kampala,Uganda,False,False
2006-08-29,Yemen,Libya,1,1,Friendly,Sana'a,Yemen,False,False
2006-09-01,Denmark,Portugal,4,2,Friendly,Brøndby,Denmark,False,True
2006-09-01,Oman,Syria,3,0,Friendly,Muscat,Oman,False,True
2006-09-02,Bahrain,Jordan,0,2,Friendly,Manama,Bahrain,False,False
2006-09-02,Belarus,Albania,2,2,UEFA Euro qualification,Minsk,Belarus,False,False
2006-09-02,Cuba,Turks and Caicos Islands,6,0,CFU Caribbean Cup qualification,Havana,Cuba,False,True
2006-09-02,Czech Republic,Wales,2,1,UEFA Euro qualification,Teplice,Czech Republic,False,True
2006-09-02,Egypt,Burundi,4,1,African Cup of Nations qualification,Alexandria,Egypt,False,True
2006-09-02,England,Andorra,5,0,UEFA Euro qualification,Manchester,England,False,True
2006-09-02,Estonia,Israel,0,1,UEFA Euro qualification,Tallinn,Estonia,False,False
2006-09-02,Gabon,Madagascar,4,0,African Cup of Nations qualification,Libreville,Gabon,False,True
2006-09-02,Georgia,France,0,3,UEFA Euro qualification,Tbilisi,Georgia,False,False
2006-09-02,Germany,Republic of Ireland,1,0,UEFA Euro qualification,Stuttgart,Germany,False,True
2006-09-02,Hungary,Norway,1,4,UEFA Euro qualification,Budapest,Hungary,False,False
2006-09-02,Italy,Lithuania,1,1,UEFA Euro qualification,Naples,Italy,False,False
2006-09-02,Kenya,Eritrea,1,2,African Cup of Nations qualification,Nairobi,Kenya,False,False
2006-09-02,South Korea,Iran,1,1,AFC Asian Cup qualification,Seoul,South Korea,False,False
2006-09-02,Latvia,Sweden,0,1,UEFA Euro qualification,Riga,Latvia,False,False
2006-09-02,Luxembourg,Netherlands,0,1,UEFA Euro qualification,Luxembourg,Luxembourg,False,False
2006-09-02,Malta,Bosnia and Herzegovina,2,5,UEFA Euro qualification,Attard,Malta,False,False
2006-09-02,Moldova,Greece,0,1,UEFA Euro qualification,Chișinău,Moldova,False,False
2006-09-02,Nigeria,Niger,2,0,African Cup of Nations qualification,Abuja,Nigeria,False,True
2006-09-02,Northern Ireland,Iceland,0,3,UEFA Euro qualification,Belfast,Northern Ireland,False,False
2006-09-02,Poland,Finland,1,3,UEFA Euro qualification,Bydgoszcz,Poland,False,False
2006-09-02,Romania,Bulgaria,2,2,UEFA Euro qualification,Constanţa,Romania,False,False
2006-09-02,Scotland,Faroe Islands,6,0,UEFA Euro qualification,Glasgow,Scotland,False,True
2006-09-02,Senegal,Mozambique,2,0,African Cup of Nations qualification,Dakar,Senegal,False,True
2006-09-02,Serbia,Azerbaijan,1,0,UEFA Euro qualification,Belgrade,Serbia,False,True
2006-09-02,Slovakia,Cyprus,6,1,UEFA Euro qualification,Bratislava,Slovakia,False,True
2006-09-02,South Africa,Congo,0,0,African Cup of Nations qualification,Johannesburg,South Africa,False,False
2006-09-02,Spain,Liechtenstein,4,0,UEFA Euro qualification,Badajoz,Spain,False,True
2006-09-02,Switzerland,Venezuela,1,0,Friendly,Basel,Switzerland,False,True
2006-09-02,Tanzania,Burkina Faso,2,1,African Cup of Nations qualification,Dar es Salaam,Tanzania,False,True
2006-09-02,Uganda,Lesotho,3,0,African Cup of Nations qualification,Kampala,Uganda,False,True
2006-09-03,Antigua and Barbuda,Dominica,1,0,Friendly,St. John's,Antigua and Barbuda,False,True
2006-09-03,Chad,Zambia,0,2,African Cup of Nations qualification,N'Djamena,Chad,False,False
2006-09-03,DR Congo,Namibia,3,2,African Cup of Nations qualification,Kinshasa,DR Congo,False,True
2006-09-03,Equatorial Guinea,Liberia,2,1,African Cup of Nations qualification,Malabo,Equatorial Guinea,False,True
2006-09-03,Ethiopia,Libya,1,0,African Cup of Nations qualification,Addis Ababa,Ethiopia,False,True
2006-09-03,Gambia,Cape Verde,2,0,African Cup of Nations qualification,Bakau,Gambia,False,True
2006-09-03,Guinea,Algeria,0,0,African Cup of Nations qualification,Conakry,Guinea,False,False
2006-09-03,Mauritius,Tunisia,0,0,African Cup of Nations qualification,Curepipe,Mauritius,False,False
2006-09-03,Rwanda,Cameroon,0,3,African Cup of Nations qualification,Kigali,Rwanda,False,False
2006-09-03,Saudi Arabia,Japan,1,0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,False,True
2006-09-03,Sierra Leone,Mali,0,0,African Cup of Nations qualification,Freetown,Sierra Leone,False,False
2006-09-03,Sudan,Seychelles,3,0,African Cup of Nations qualification,Khartoum,Sudan,False,True
2006-09-03,Togo,Benin,2,1,African Cup of Nations qualification,Lomé,Togo,False,True
2006-09-04,Canada,Jamaica,1,0,Friendly,Montreal,Canada,False,True
2006-09-04,Cuba,Bahamas,6,0,CFU Caribbean Cup qualification,Havana,Cuba,False,True
2006-09-06,Albania,Romania,0,2,UEFA Euro qualification,Tirana,Albania,False,False
2006-09-06,Armenia,Belgium,0,1,UEFA Euro qualification,Yerevan,Armenia,False,False
2006-09-06,Azerbaijan,Kazakhstan,1,1,UEFA Euro qualification,Baku,Azerbaijan,False,False
2006-09-06,Bosnia and Herzegovina,Hungary,1,3,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False,False
2006-09-06,Bulgaria,Slovenia,3,0,UEFA Euro qualification,Sofia,Bulgaria,False,True
2006-09-06,Cuba,Cayman Islands,7,0,CFU Caribbean Cup qualification,Havana,Cuba,False,True
2006-09-06,Finland,Portugal,1,1,UEFA Euro qualification,Helsinki,Finland,False,False
2006-09-06,France,Italy,3,1,UEFA Euro qualification,Saint-Denis,France,False,True
2006-09-06,Guatemala,Panama,1,2,Friendly,Guatemala City,Guatemala,False,False
2006-09-06,Honduras,El Salvador,2,0,Friendly,Tegucigalpa,Honduras,False,True
2006-09-06,Hong Kong,Uzbekistan,0,0,AFC Asian Cup qualification,So Kon Po,Hong Kong,False,False
2006-09-06,Iceland,Denmark,0,2,UEFA Euro qualification,Reykjavík,Iceland,False,False
2006-09-06,South Korea,Taiwan,8,0,AFC Asian Cup qualification,Suwon,South Korea,False,True
2006-09-06,Kuwait,Australia,2,0,AFC Asian Cup qualification,Kuwait City,Kuwait,False,True
2006-09-06,Lithuania,Scotland,1,2,UEFA Euro qualification,Kaunas,Lithuania,False,False
2006-09-06,Luxembourg,Latvia,0,0,Friendly,Hesperange,Luxembourg,False,False
2006-09-06,North Macedonia,England,0,1,UEFA Euro qualification,Skopje,North Macedonia,False,False
2006-09-06,Netherlands,Belarus,3,0,UEFA Euro qualification,Eindhoven,Netherlands,False,True
2006-09-06,Northern Ireland,Spain,3,2,UEFA Euro qualification,Belfast,Northern Ireland,False,True
2006-09-06,Norway,Moldova,2,0,UEFA Euro qualification,Oslo,Norway,False,True
2006-09-06,Oman,Pakistan,5,0,AFC Asian Cup qualification,Muscat,Oman,False,True
2006-09-06,Poland,Serbia,1,1,UEFA Euro qualification,Warsaw,Poland,False,False
2006-09-06,Qatar,Bangladesh,3,0,AFC Asian Cup qualification,Doha,Qatar,False,True
2006-09-06,Russia,Croatia,0,0,UEFA Euro qualification,Moscow,Russia,False,False
2006-09-06,San Marino,Germany,0,13,UEFA Euro qualification,Serravalle,San Marino,False,False
2006-09-06,Saudi Arabia,India,7,1,AFC Asian Cup qualification,Jeddah,Saudi Arabia,False,True
2006-09-06,Singapore,China PR,0,0,AFC Asian Cup qualification,Singapore,Singapore,False,False
2006-09-06,Slovakia,Czech Republic,0,3,UEFA Euro qualification,Bratislava,Slovakia,False,False
2006-09-06,Sweden,Liechtenstein,3,1,UEFA Euro qualification,Gothenburg,Sweden,False,True
2006-09-06,Switzerland,Costa Rica,2,0,Friendly,Geneva,Switzerland,False,True
2006-09-06,Ukraine,Georgia,3,2,UEFA Euro qualification,Kyiv,Ukraine,False,True
2006-09-06,United Arab Emirates,Jordan,0,0,AFC Asian Cup qualification,Sharjah,United Arab Emirates,False,False
2006-09-06,Yemen,Japan,0,1,AFC Asian Cup qualification,Sana'a,Yemen,False,False
2006-09-15,Haiti,Dominican Republic,3,1,Friendly,Saint-Marc,Haiti,False,True
2006-09-17,Dominica,Barbados,0,5,Friendly,Grand Bay,Dominica,False,False
2006-09-17,Haiti,Dominican Republic,2,1,Friendly,Port-au-Prince,Haiti,False,True
2006-09-17,Zimbabwe,Angola,1,2,COSAFA Cup,Harare,Zimbabwe,False,False
2006-09-20,Antigua and Barbuda,Anguilla,5,3,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,False,True
2006-09-20,Guadeloupe,Saint Martin,1,0,CFU Caribbean Cup qualification,Les Abymes,Guadeloupe,False,True
2006-09-22,Antigua and Barbuda,Barbados,1,3,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,False,False
2006-09-22,Guadeloupe,Dominica,1,0,CFU Caribbean Cup qualification,Les Abymes,Guadeloupe,False,True
2006-09-24,Antigua and Barbuda,Saint Kitts and Nevis,1,0,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,False,True
2006-09-24,Guadeloupe,Martinique,4,0,CFU Caribbean Cup qualification,Les Abymes,Guadeloupe,False,True
2006-09-27,Jamaica,Saint Lucia,4,0,CFU Caribbean Cup qualification,Kingston,Jamaica,False,True
2006-09-27,Venezuela,Uruguay,1,0,Friendly,Maracaibo,Venezuela,False,True
2006-09-27,United States Virgin Islands,Bermuda,0,6,CFU Caribbean Cup qualification,Charlotte Amalie,United States Virgin Islands,False,False
2006-09-30,Tanzania,Kenya,0,0,Friendly,Dar es Salaam,Tanzania,False,False
2006-10-01,Jamaica,Haiti,2,0,CFU Caribbean Cup qualification,Kingston,Jamaica,False,True
2006-10-01,Libya,Sudan,1,0,Friendly,Tripoli,Libya,False,True
2006-10-01,United States Virgin Islands,Dominican Republic,1,6,CFU Caribbean Cup qualification,Charlotte Amalie,United States Virgin Islands,False,False
2006-10-03,Botswana,Lesotho,1,0,Friendly,Gaborone,Botswana,False,True
2006-10-04,Ethiopia,Eswatini,2,0,Friendly,Addis Ababa,Ethiopia,False,True
2006-10-04,Japan,Ghana,0,1,Friendly,Yokohama,Japan,False,False
2006-10-06,Jordan,Iran,0,0,Friendly,Amman,Jordan,False,False
2006-10-06,Liechtenstein,Austria,1,2,Friendly,Vaduz,Liechtenstein,False,False
2006-10-07,Algeria,Gambia,1,0,African Cup of Nations qualification,Algiers,Algeria,False,True
2006-10-07,Armenia,Finland,0,0,UEFA Euro qualification,Yerevan,Armenia,False,False
2006-10-07,Australia,Paraguay,1,1,Friendly,Brisbane,Australia,False,False
2006-10-07,Botswana,Egypt,0,0,African Cup of Nations qualification,Gaborone,Botswana,False,False
2006-10-07,Bulgaria,Netherlands,1,1,UEFA Euro qualification,Sofia,Bulgaria,False,False
2006-10-07,Burkina Faso,Senegal,1,0,African Cup of Nations qualification,Ouagadougou,Burkina Faso,False,True
2006-10-07,Cameroon,Equatorial Guinea,3,0,African Cup of Nations qualification,Yaoundé,Cameroon,False,True
2006-10-07,Cape Verde,Guinea,1,0,African Cup of Nations qualification,Praia,Cape Verde,False,True
2006-10-07,Chile,Peru,3,2,Copa del Pacífico,Viña del Mar,Chile,False,True
2006-10-07,Croatia,Andorra,7,0,UEFA Euro qualification,Zagreb,Croatia,False,True
2006-10-07,Cyprus,Republic of Ireland,5,2,UEFA Euro qualification,Nicosia,Cyprus,False,True
2006-10-07,Czech Republic,San Marino,7,0,UEFA Euro qualification,Liberec,Czech Republic,False,True
2006-10-07,Denmark,Northern Ireland,0,0,UEFA Euro qualification,Copenhagen,Denmark,False,False
2006-10-07,England,North Macedonia,0,0,UEFA Euro qualification,Manchester,England,False,False
2006-10-07,Eritrea,Eswatini,0,0,African Cup of Nations qualification,Asmara,Eritrea,False,False
2006-10-07,Faroe Islands,Lithuania,0,1,UEFA Euro qualification,Tórshavn,Faroe Islands,False,False
2006-10-07,Germany,Georgia,2,0,Friendly,Rostock,Germany,False,True
2006-10-07,Greece,Norway,1,0,UEFA Euro qualification,Piraeus,Greece,False,True
2006-10-07,Hungary,Turkey,0,1,UEFA Euro qualification,Budapest,Hungary,False,False
2006-10-07,Italy,Ukraine,2,0,UEFA Euro qualification,Rome,Italy,False,True
2006-10-07,Kazakhstan,Poland,0,1,UEFA Euro qualification,Almaty,Kazakhstan,False,False
2006-10-07,Latvia,Iceland,4,0,UEFA Euro qualification,Riga,Latvia,False,True
2006-10-07,Malawi,Zimbabwe,1,0,African Cup of Nations qualification,Blantyre,Malawi,False,True
2006-10-07,Moldova,Bosnia and Herzegovina,2,2,UEFA Euro qualification,Chișinău,Moldova,False,False
2006-10-07,Namibia,Ethiopia,1,0,African Cup of Nations qualification,Windhoek,Namibia,False,True
2006-10-07,Panama,El Salvador,1,0,Friendly,Panama City,Panama,False,True
2006-10-07,Portugal,Azerbaijan,3,0,UEFA Euro qualification,Porto,Portugal,False,True
2006-10-07,Romania,Belarus,3,1,UEFA Euro qualification,Bucharest,Romania,False,True
2006-10-07,Russia,Israel,1,1,UEFA Euro qualification,Moscow,Russia,False,False
2006-10-07,Scotland,France,1,0,UEFA Euro qualification,Glasgow,Scotland,False,True
2006-10-07,Serbia,Belgium,1,0,UEFA Euro qualification,Belgrade,Serbia,False,True
2006-10-07,Seychelles,Mauritius,2,1,African Cup of Nations qualification,Victoria,Seychelles,False,True
2006-10-07,Slovenia,Luxembourg,2,0,UEFA Euro qualification,Celje,Slovenia,False,True
2006-10-07,Sweden,Spain,2,0,UEFA Euro qualification,Solna,Sweden,False,True
2006-10-07,Tunisia,Sudan,1,0,African Cup of Nations qualification,Radès,Tunisia,False,True
2006-10-07,Wales,Slovakia,1,5,UEFA Euro qualification,Cardiff,Wales,False,False
2006-10-08,Angola,Kenya,3,1,African Cup of Nations qualification,Luanda,Angola,False,True
2006-10-08,Benin,Sierra Leone,2,0,African Cup of Nations qualification,Cotonou,Benin,False,True
2006-10-08,Burundi,Mauritania,3,1,African Cup of Nations qualification,Bujumbura,Burundi,False,True
2006-10-08,Congo,Chad,3,1,African Cup of Nations qualification,Brazzaville,Congo,False,True
2006-10-08,Ivory Coast,Gabon,5,0,African Cup of Nations qualification,Abidjan,Ivory Coast,False,True
2006-10-08,Jamaica,Canada,2,1,Friendly,Kingston,Jamaica,False,True
2006-10-08,South Korea,Ghana,1,3,Friendly,Seoul,South Korea,False,False
2006-10-08,Lesotho,Nigeria,0,1,African Cup of Nations qualification,Maseru,Lesotho,False,False
2006-10-08,Liberia,Rwanda,3,2,African Cup of Nations qualification,Monrovia,Liberia,False,True
2006-10-08,Libya,DR Congo,1,1,African Cup of Nations qualification,Tripoli,Libya,False,False
2006-10-08,Mali,Togo,1,0,African Cup of Nations qualification,Bamako,Mali,False,True
2006-10-08,Mozambique,Tanzania,0,0,African Cup of Nations qualification,Maputo,Mozambique,False,False
2006-10-08,Niger,Uganda,0,0,African Cup of Nations qualification,Niamey,Niger,False,False
2006-10-08,Zambia,South Africa,0,1,African Cup of Nations qualification,Lusaka,Zambia,False,False
2006-10-11,Andorra,North Macedonia,0,3,UEFA Euro qualification,Sant Julià de Lòria,Andorra,False,False
2006-10-11,Australia,Bahrain,2,0,AFC Asian Cup qualification,Sydney,Australia,False,True
2006-10-11,Austria,Switzerland,2,1,Friendly,Innsbruck,Austria,False,True
2006-10-11,Bangladesh,Uzbekistan,0,4,AFC Asian Cup qualification,Dhaka,Bangladesh,False,False
2006-10-11,Belarus,Slovenia,4,2,UEFA Euro qualification,Minsk,Belarus,False,True
2006-10-11,Belgium,Azerbaijan,3,0,UEFA Euro qualification,Brussels,Belgium,False,True
2006-10-11,Bosnia and Herzegovina,Greece,0,4,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False,False
2006-10-11,Croatia,England,2,0,UEFA Euro qualification,Zagreb,Croatia,False,True
2006-10-11,France,Faroe Islands,5,0,UEFA Euro qualification,Montbéliard,France,False,True
2006-10-11,Georgia,Italy,1,3,UEFA Euro qualification,Tbilisi,Georgia,False,False
2006-10-11,Iceland,Sweden,1,2,UEFA Euro qualification,Reykjavík,Iceland,False,False
2006-10-11,India,Japan,0,3,AFC Asian Cup qualification,Bangalore,India,False,False
2006-10-11,Republic of Ireland,Czech Republic,1,1,UEFA Euro qualification,Dublin,Republic of Ireland,False,False
2006-10-11,Kazakhstan,Finland,0,2,UEFA Euro qualification,Almaty,Kazakhstan,False,False
2006-10-11,South Korea,Syria,1,1,AFC Asian Cup qualification,Seoul,South Korea,False,False
2006-10-11,Kuwait,Lithuania,1,0,Friendly,Kuwait City,Kuwait,False,True
2006-10-11,Liechtenstein,Denmark,0,4,UEFA Euro qualification,Vaduz,Liechtenstein,False,False
2006-10-11,Luxembourg,Bulgaria,0,1,UEFA Euro qualification,Luxembourg,Luxembourg,False,False
2006-10-11,Malta,Hungary,2,1,UEFA Euro qualification,Attard,Malta,False,True
2006-10-11,Netherlands,Albania,2,1,UEFA Euro qualification,Amsterdam,Netherlands,False,True
2006-10-11,Northern Ireland,Latvia,1,0,UEFA Euro qualification,Belfast,Northern Ireland,False,True
2006-10-11,Oman,United Arab Emirates,2,1,AFC Asian Cup qualification,Muscat,Oman,False,True
2006-10-11,Pakistan,Jordan,0,3,AFC Asian Cup qualification,Lahore,Pakistan,False,False
2006-10-11,Peru,Chile,0,1,Copa del Pacífico,Tacna,Peru,False,False
2006-10-11,Poland,Portugal,2,1,UEFA Euro qualification,Chorzów,Poland,False,True
2006-10-11,Qatar,Hong Kong,2,0,AFC Asian Cup qualification,Doha,Qatar,False,True
2006-10-11,Russia,Estonia,2,0,UEFA Euro qualification,Saint Petersburg,Russia,False,True
2006-10-11,Saudi Arabia,Yemen,5,0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,False,True
2006-10-11,Serbia,Armenia,3,0,UEFA Euro qualification,Belgrade,Serbia,False,True
2006-10-11,Slovakia,Germany,1,4,UEFA Euro qualification,Bratislava,Slovakia,False,False
2006-10-11,Spain,Argentina,2,1,Friendly,Murcia,Spain,False,True
2006-10-11,Trinidad and Tobago,Panama,2,1,Friendly,Port of Spain,Trinidad and Tobago,False,True
2006-10-11,Ukraine,Scotland,2,0,UEFA Euro qualification,Kyiv,Ukraine,False,True
2006-10-11,Wales,Cyprus,3,1,UEFA Euro qualification,Cardiff,Wales,False,True
2006-10-17,Haiti,Cuba,0,0,Friendly,Port-au-Prince,Haiti,False,False
2006-10-18,Uruguay,Venezuela,4,0,Friendly,Montevideo,Uruguay,False,True
2006-10-19,Haiti,Cuba,0,1,Friendly,Cap-Haïtien,Haiti,False,False
2006-10-21,Zambia,Angola,2,0,COSAFA Cup,Lusaka,Zambia,False,True
2006-10-22,Saint Vincent and the Grenadines,Martinique,1,1,Friendly,Kingstown,Saint Vincent and the Grenadines,False,False
2006-11-05,Barbados,Grenada,2,2,Friendly,Black Rock,Barbados,False,False
2006-11-08,Martinique,Suriname,1,0,CFU Caribbean Cup qualification,Fort-de-France,Martinique,False,True
2006-11-08,Oman,Bahrain,1,1,Friendly,Muscat,Oman,False,False
2006-11-08,Saudi Arabia,Jordan,2,1,Friendly,Riyadh,Saudi Arabia,False,True
2006-11-10,Martinique,Haiti,1,0,CFU Caribbean Cup qualification,Fort-de-France,Martinique,False,True
2006-11-11,Singapore,Indonesia,1,2,Friendly,Singapore,Singapore,False,False
2006-11-12,Martinique,Cuba,0,0,CFU Caribbean Cup qualification,Fort-de-France,Martinique,False,False
2006-11-12,Philippines,Laos,1,2,AFF Championship qualification,Bacolod,Philippines,False,False
2006-11-14,Philippines,Timor-Leste,7,0,AFF Championship qualification,Bacolod,Philippines,False,True
2006-11-14,Wales,Liechtenstein,4,0,Friendly,Wrexham,Wales,False,True
2006-11-15,Austria,Trinidad and Tobago,4,1,Friendly,Vienna,Austria,False,True
2006-11-15,Bahrain,Kuwait,2,1,AFC Asian Cup qualification,Riffa,Bahrain,False,True
2006-11-15,Belgium,Poland,0,1,UEFA Euro qualification,Brussels,Belgium,False,False
2006-11-15,Bolivia,El Salvador,5,1,Friendly,La Paz,Bolivia,False,True
2006-11-15,Botswana,Eswatini,1,0,Friendly,Gaborone,Botswana,False,True
2006-11-15,Chile,Paraguay,3,2,Friendly,Viña del Mar,Chile,False,True
2006-11-15,China PR,Iraq,1,1,AFC Asian Cup qualification,Changsha,China PR,False,False
2006-11-15,Cyprus,Germany,1,1,UEFA Euro qualification,Nicosia,Cyprus,False,False
2006-11-15,Czech Republic,Denmark,1,1,Friendly,Prague,Czech Republic,False,False
2006-11-15,Estonia,Belarus,2,1,Friendly,Tallinn,Estonia,False,True
2006-11-15,Finland,Armenia,1,0,UEFA Euro qualification,Helsinki,Finland,False,True
2006-11-15,France,Greece,1,0,Friendly,Saint-Denis,France,False,True
2006-11-15,Georgia,Uruguay,2,0,Friendly,Tbilisi,Georgia,False,True
2006-11-15,Hong Kong,Bangladesh,2,0,AFC Asian Cup qualification,Kowloon,Hong Kong,False,True
2006-11-15,Hungary,Canada,1,0,Friendly,Székesfehérvár,Hungary,False,True
2006-11-15,Iran,South Korea,2,0,AFC Asian Cup qualification,Tehran,Iran,False,True
2006-11-15,Republic of Ireland,San Marino,5,0,UEFA Euro qualification,Dublin,Republic of Ireland,False,True
2006-11-15,Israel,Croatia,3,4,UEFA Euro qualification,Ramat Gan,Israel,False,False
2006-11-15,Italy,Turkey,1,1,Friendly,Bergamo,Italy,False,False
2006-11-15,Jamaica,Peru,1,1,Friendly,Kingston,Jamaica,False,False
2006-11-15,Japan,Saudi Arabia,3,1,AFC Asian Cup qualification,Sapporo,Japan,False,True
2006-11-15,Jordan,Oman,3,0,AFC Asian Cup qualification,Amman,Jordan,False,True
2006-11-15,Luxembourg,Togo,0,0,Friendly,Luxembourg,Luxembourg,False,False
2006-11-15,North Macedonia,Russia,0,2,UEFA Euro qualification,Skopje,North Macedonia,False,False
2006-11-15,Malta,Lithuania,1,4,Friendly,Attard,Malta,False,False
2006-11-15,Morocco,Gabon,6,0,Friendly,Rabat,Morocco,False,True
2006-11-15,Netherlands,England,1,1,Friendly,Amsterdam,Netherlands,False,False
2006-11-15,Portugal,Kazakhstan,3,0,UEFA Euro qualification,Coimbra,Portugal,False,True
2006-11-15,Serbia,Norway,1,1,Friendly,Belgrade,Serbia,False,False
2006-11-15,Slovakia,Bulgaria,3,1,Friendly,Žilina,Slovakia,False,True
2006-11-15,Spain,Romania,0,1,Friendly,Cádiz,Spain,False,False
2006-11-15,Switzerland,Brazil,1,2,Friendly,Basel,Switzerland,False,False
2006-11-15,Syria,Taiwan,3,0,AFC Asian Cup qualification,Damascus,Syria,False,True
2006-11-15,Tunisia,Libya,2,0,Friendly,Tunis,Tunisia,False,True
2006-11-15,United Arab Emirates,Pakistan,3,2,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,False,True
2006-11-15,Uzbekistan,Qatar,2,0,AFC Asian Cup qualification,Tashkent,Uzbekistan,False,True
2006-11-15,Venezuela,Guatemala,2,1,Friendly,Caracas,Venezuela,False,True
2006-11-15,Yemen,India,2,1,AFC Asian Cup qualification,Sana'a,Yemen,False,True
2006-11-15,Zimbabwe,Namibia,3,2,Friendly,Harare,Zimbabwe,False,True
2006-11-18,Philippines,Cambodia,1,0,AFF Championship qualification,Bacolod,Philippines,False,True
2006-11-18,Tanzania,Angola,1,1,Friendly,Dar es Salaam,Tanzania,False,False
2006-11-19,Barbados,Bahamas,2,1,CFU Caribbean Cup qualification,Bridgetown,Barbados,False,True
2006-11-19,Panama,Peru,1,2,Friendly,Panama City,Panama,False,False
2006-11-19,Northern Cyprus,Crimea,5,0,ELF Cup,Lefkoşa,Northern Cyprus,False,True
2006-11-20,Philippines,Brunei,4,1,AFF Championship qualification,Bacolod,Philippines,True,True
2006-11-20,Northern Cyprus,Tajikistan,5,1,ELF Cup,Güzelyurt,Northern Cyprus,False,True
2006-11-21,Northern Cyprus,Tibet,10,0,ELF Cup,Gazimağusa,Northern Cyprus,False,True
2006-11-23,Barbados,Bermuda,1,1,CFU Caribbean Cup qualification,Bridgetown,Barbados,False,False
2006-11-23,Northern Cyprus,Zanzibar,5,0,ELF Cup,Lefkoşa,Northern Cyprus,False,True
2006-11-24,Guyana,Antigua and Barbuda,6,0,CFU Caribbean Cup qualification,Georgetown,Guyana,False,True
2006-11-25,Ethiopia,Tanzania,1,2,CECAFA Cup,Addis Ababa,Ethiopia,False,False
2006-11-25,Northern Cyprus,Crimea,3,1,ELF Cup,Lefkoşa,Northern Cyprus,False,True
2006-11-26,Guyana,Guadeloupe,3,2,CFU Caribbean Cup qualification,Georgetown,Guyana,False,True
2006-11-28,Ethiopia,Djibouti,4,0,CECAFA Cup,Addis Ababa,Ethiopia,False,True
2006-11-28,Guyana,Dominican Republic,4,0,CFU Caribbean Cup qualification,Georgetown,Guyana,False,True
2006-11-29,El Salvador,Panama,0,0,Friendly,San Salvador,El Salvador,False,False
2006-12-01,Ethiopia,Malawi,1,0,CECAFA Cup,Addis Ababa,Ethiopia,False,True
2006-12-05,Ethiopia,Zambia,0,1,CECAFA Cup,Addis Ababa,Ethiopia,False,False
2006-12-06,United Arab Emirates,Poland,2,5,Friendly,Abu Dhabi,United Arab Emirates,False,False
2006-12-09,Tanzania,DR Congo,2,0,Friendly,Dar es Salaam,Tanzania,False,True
2006-12-10,United Arab Emirates,Slovakia,1,2,Friendly,Abu Dhabi,United Arab Emirates,False,False
2006-12-14,Yemen,Comoros,2,0,Arab Cup qualification,Sana'a,Yemen,False,True
2006-12-15,Réunion,Mayotte,3,1,Friendly,Saint-Denis,Réunion,False,True
2006-12-20,Yemen,Djibouti,4,1,Arab Cup qualification,Sana'a,Yemen,False,True
2006-12-21,Lebanon,Mauritania,0,0,Arab Cup qualification,Beirut,Lebanon,False,False
2006-12-24,Lebanon,Somalia,4,0,Arab Cup qualification,Beirut,Lebanon,False,True
2006-12-24,Thailand,Vietnam,2,1,King's Cup,Bangkok,Thailand,False,True
2006-12-26,Thailand,Singapore,2,0,King's Cup,Bangkok,Thailand,False,True
2006-12-27,Lebanon,Sudan,0,0,Arab Cup qualification,Beirut,Lebanon,False,False
2006-12-28,Martinique,Saint Vincent and the Grenadines,2,2,Friendly,Saint-Joseph,Martinique,False,False
2006-12-28,Thailand,Kazakhstan,2,2,King's Cup,Bangkok,Thailand,False,False
2006-12-30,Martinique,Saint Vincent and the Grenadines,1,1,Friendly,Sainte-Marie,Martinique,False,False
2006-12-30,Thailand,Vietnam,3,1,King's Cup,Bangkok,Thailand,False,True
2007-01-06,Martinique,Guadeloupe,3,0,Friendly,Le Lamentin,Martinique,False,True
2007-01-07,Singapore,Philippines,4,1,Friendly,Singapore,Singapore,False,True
2007-01-07,Yemen,Eritrea,4,1,Friendly,Sana'a,Yemen,False,True
2007-01-08,Saudi Arabia,Gambia,3,0,Friendly,Dammam,Saudi Arabia,False,True
2007-01-11,Costa Rica,Nicaragua,2,0,Friendly,San José,Costa Rica,False,True
2007-01-11,Saudi Arabia,Syria,2,1,Friendly,Dammam,Saudi Arabia,False,True
2007-01-12,Thailand,Myanmar,1,1,AFF Championship,Bangkok,Thailand,False,False
2007-01-12,Trinidad and Tobago,Barbados,1,1,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,False,False
2007-01-13,Qatar,Oman,1,1,Friendly,Doha,Qatar,False,False
2007-01-13,Singapore,Vietnam,0,0,AFF Championship,Singapore,Singapore,False,False
2007-01-14,Thailand,Philippines,4,0,AFF Championship,Bangkok,Thailand,False,True
2007-01-14,Venezuela,Sweden,2,0,Friendly,Maracaibo,Venezuela,False,True
2007-01-15,Singapore,Laos,11,0,AFF Championship,Singapore,Singapore,False,True
